id,ids_prism,ids_espn,ids_fantasypros,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay
2hmrb76wt8,2hmrb76wt8,4686612,26215,00-0040727,22074,HarrTr03,12509,a45328a1-7d0e-451a-8176-ea30f0e1c86f,Q123197626,41840,T.Harris,Cleveland,Tre Harris,"Harris, Tre","Harris, T",Cleveland Harris,,Tre Harris,Harris,Tre,,2002-02-28,2002,02,28
2lb8r8c86d,2lb8r8c86d,4362478,25654,00-0038705,20719,DemeEm00,11199,44b4cbf0-e8fe-11ed-bc6e-a5c4d3ccbdd1,Q118133409,40430,E.Demercado,Emari,Emari Demercado,"Demercado, Emari","Demercado, E",Emari Demercado,,Emari Demercado,Demercado,Emari,,1999-01-20,1999,01,20
2mmyb83e9m,2mmyb83e9m,4241263,22756,00-0038046,19482,KolaCh00,8127,3c048ac9-2c0f-4bf0-9ddc-ce99c9387ac8,Q95693718,34084,C.Kolar,Charlie,Charlie Kolar,"Kolar, Charlie","Kolar, C",Charlie Kolar,,Charlie Kolar,Kolar,Charlie,,1999-02-10,1999,02,10
2p2k0my3lr,2p2k0my3lr,4431452,23046,00-0039851,21125,MayeDr00,11564,d0c0630e-8925-4b81-a32b-e4146d95f01f,Q113363657,40881,D.Maye,Drake,Drake Maye,"Maye, Drake","Maye, D",Drake Maye,,Drake Maye,Maye,Drake,,2002-08-30,2002,08,30
2ry9rb0qf0,2ry9rb0qf0,12483,9451,00-0026498,7697,StafMa00,421,ade43b1a-0601-4672-83b6-d246bc066a19,Q889130,9265,M.Stafford,John,Matthew Stafford,"Stafford, Matthew","Stafford, M",John Stafford,,Matthew Stafford,Stafford,Matthew,,1988-02-07,1988,02,07
2s8ghle4q4,2s8ghle4q4,4373030,25349,00-0038809,20639,SimsBe00,11082,cef32a80-e761-11ed-ac46-e3b4ebd723e5,Q122110104,40335,B.Sims,Ben,Ben Sims,"Sims, Ben","Sims, B",Ben Sims,,Ben Sims,Sims,Ben,,2000-05-16,2000,05,16
2vjyyz4ymm,2vjyyz4ymm,4240472,19539,00-0036637,19128,GrayNo00,7828,c97dfcb6-b999-476f-8487-f3848e92df17,Q100564838,33550,N.Gray,Noah,Noah Gray,"Gray, Noah","Gray, N",Noah Gray,,Noah Gray,Gray,Noah,,1999-04-30,1999,04,30
2xlzp4g4q0,2xlzp4g4q0,4692835,25468,00-0038640,20519,BrooJa03,11034,66f7bbe1-eb89-4b48-83db-d947b04ff1fd,Q118106076,40257,J.Brooks,Jalen,Jalen Brooks,"Brooks, Jalen","Brooks, J",Jalen Brooks,,Jalen Brooks,Brooks,Jalen,,2000-05-07,2000,05,07
2yg9jky8hd,2yg9jky8hd,4431459,26434,00-0040128,22067,WarrTy00,12518,c8fe3913-1210-4142-b9c1-c119ef702ca5,Q121073917,41799,T.Warren,Tyler,Tyler Warren,"Warren, Tyler","Warren, T",Tyler Warren,,Tyler Warren,Warren,Tyler,,2002-05-24,2002,05,24
2yxrlpw8pr,2yxrlpw8pr,3917914,18864,00-0035208,17170,ZaccOl01,6271,d8281390-f081-41e5-b55e-75779536fe94,Q70790285,32123,O.Zaccheaus,Olamide,Olamide Zaccheaus,"Zaccheaus, Olamide","Zaccheaus, O",Olamide Zaccheaus,,Olamide Zaccheaus,Zaccheaus,Olamide,,1997-07-23,1997,07,23
3010nygy1h,3010nygy1h,2310331,18633,00-0036427,17979,JohnTy00,6960,93c17735-5275-45cf-b3ef-620351c62313,Q76446120,32831,T.Johnson,Tyler,Tyler Johnson,"Johnson, Tyler","Johnson, T",Tyler Johnson,,Tyler Johnson,Johnson,Tyler,,1998-08-25,1998,08,25
31sw25yg1m,31sw25yg1m,3040151,16499,00-0033288,15360,KittGe00,4217,2ada91b0-036e-454f-83c3-6d939ff584a9,Q29558759,30259,G.Kittle,George,George Kittle,"Kittle, George","Kittle, G",George Kittle,,George Kittle,Kittle,George,,1993-10-09,1993,10,09
33vmzj6rhd,33vmzj6rhd,4035115,18246,00-0036423,18000,OkwuAl00,6843,617aee8a-70be-4bdf-9a71-2e2b74e647e6,Q57603670,32788,A.Okwuegbunam,Albert,Albert Okwuegbunam,"Okwuegbunam, Albert","Okwuegbunam, A",Albert Okwuegbunam,,Albert Okwuegbunam,Okwuegbunam,Albert,,1998-04-25,1998,04,25
35eng5rvk8,35eng5rvk8,4257188,25336,00-0038576,20468,JoneCh11,10228,c634c231-61fb-4725-8533-2cce14bfebbf,Q114000835,40158,Cha.Jones,Charlie,Charlie Jones,"Jones, Charlie","Jones, C",Charlie Jones,,Charlie Jones,Jones,Charlie,,1998-10-29,1998,10,29
35s5m76t7w,35s5m76t7w,4723086,26006,00-0040126,22075,LoveCo00,12517,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2,Q115286954,41795,C.Loveland,Colston,Colston Loveland,"Loveland, Colston","Loveland, C",Colston Loveland,,Colston Loveland,Loveland,Colston,,2004-04-09,2004,04,09
3f6l75ecsw,3f6l75ecsw,4685247,24346,00-0039794,21132,AlleBr05,11576,d7f72deb-c1e2-47a2-b651-887f0e33dc44,Q109570622,40981,B.Allen,Braelon,Braelon Allen,"Allen, Braelon","Allen, B",Braelon Allen,,Braelon Allen,Allen,Braelon,,2004-01-20,2004,01,20
3ftv8dwxfr,3ftv8dwxfr,4430802,22967,00-0038558,20301,WashDa03,9479,1984b8b5-d206-4d6a-8204-c5dd0160e9f5,Q109383359,40094,D.Washington,Darnell,Darnell Washington,"Washington, Darnell","Washington, D",Darnell Washington,,Darnell Washington,Washington,Darnell,,2001-08-17,2001,08,17
3g8whwrxvr,3g8whwrxvr,4917427,27499,00-0041084,23162,KoziTa00,13408,aa0d8447-26c5-4f82-827a-57890d7b9f70,Q131447674,42797,T.Koziol,Tanner,Tanner Koziol,"Koziol, Tanner","Koziol, T",Tanner Koziol,,Tanner Koziol,Koziol,Tanner,,2004-01-28,2004,01,28
3g970qfk90,3g970qfk90,4430737,23059,00-0037840,19450,WillKy02,8150,19d44771-8f1d-4127-9b7d-230da137f15d,Q100408299,34120,K.Williams,Kyren,Kyren Williams,"Williams, Kyren","Williams, K",Kyren Williams,,Kyren Williams,Williams,Kyren,,2000-08-26,2000,08,26
3hdwjgyf6r,3hdwjgyf6r,3123075,17289,00-0034419,16137,BerrBr00,5121,18f0bd30-1432-4fae-9cb4-c212bad6d0bb,Q41760277,31180,B.Berrios,Braxton,Braxton Berrios,"Berrios, Braxton","Berrios, B",Braxton Berrios,,Braxton Berrios,Berrios,Braxton,,1995-10-06,1995,10,06
3lcg8zg194,3lcg8zg194,4360569,22969,00-0037525,19872,MasoJo00,8408,af9f7390-ca80-11ec-97ae-e1573849d1a6,Q113869071,34320,J.Mason,Jordan,Jordan Mason,"Mason, Jordan","Mason, J",Jordan Mason,,Jordan Mason,Mason,Jordan,,1999-05-24,1999,05,24
3qv3f5jeqh,3qv3f5jeqh,4429835,22915,00-0039299,21709,HolaGe00,12048,971a3930-0724-11ef-a47d-6f7fe8c7bc97,Q124788532,41344,G.Holani,George,George Holani,"Holani, George","Holani, G",George Holani,,George Holani,Holani,George,,1999-12-16,1999,12,16
3qzkjw69dw,3qzkjw69dw,4360635,23982,00-0037809,19633,OkonCh00,8210,14e11f9b-58c8-437f-abc0-a4e4df9a7c47,Q111020385,34099,C.Okonkwo,Chigoziem,Chig Okonkwo,"Okonkwo, Chig","Okonkwo, C",Chigoziem Okonkwo,,Chig Okonkwo,Okonkwo,Chig,,1999-09-08,1999,09,08
